time;open;high;low;close;tick_volume;spread;real_volume
2022-05-12 22:00:00;1906.44;1922.33;1890.52;1917.3;3607;473;0
2022-05-12 23:00:00;1917.3;1975.17;1916.97;1951.65;4449;480;0
2022-05-13 00:00:00;1951.65;2018.3;1933.62;2006.03;4796;484;0
2022-05-13 01:00:00;2006.03;2036.08;1991.4;2010.07;3907;498;0
2022-05-13 02:00:00;2010.07;2067.46;2002.16;2056.56;4526;501;0
2022-05-13 03:00:00;2056.56;2100.37;2049.51;2087.04;4924;513;0
2022-05-13 04:00:00;2087.04;2089.99;2064.91;2081.43;3918;516;0
2022-05-13 05:00:00;2081.43;2135.74;2074.49;2097.85;4816;519;0
2022-05-13 06:00:00;2097.85;2115.68;2082.5;2086.48;3969;521;0
2022-05-13 07:00:00;2086.48;2088.26;2040.57;2040.57;5419;511;0
2022-05-13 08:00:00;2040.57;2071.29;2040.55;2061.76;4197;510;0
2022-05-13 09:00:00;2061.76;2092.08;2061.76;2071.08;4536;516;0
2022-05-13 10:00:00;2071.08;2097.37;2051.72;2091.12;3727;513;0
2022-05-13 11:00:00;2091.12;2116.67;2073.14;2106.99;4494;518;0
2022-05-13 12:00:00;2106.99;2127.4;2093.63;2116.34;4313;524;0
2022-05-13 13:00:00;2116.34;2128.19;2077.47;2120.05;5152;519;0
2022-05-13 14:00:00;2120.05;2141.71;2108.7;2123.61;5320;528;0
2022-05-13 15:00:00;2123.61;2124.62;2075.15;2087.34;5146;519;0
2022-05-13 16:00:00;2087.34;2105.85;2049.69;2061.5;4983;513;0
2022-05-13 17:00:00;2061.5;2087.88;2047.65;2048.48;4300;512;0
2022-05-13 18:00:00;2048.63;2073.23;2024.31;2069.64;4939;507;0
2022-05-13 19:00:00;2069.64;2072.4;2048.99;2059.68;4491;513;0
2022-05-13 20:00:00;2059.68;2067.06;2040.11;2040.18;3797;510;0
2022-05-13 21:00:00;2040.18;2073.3;2035.61;2071.05;2392;509;0
2022-05-13 22:00:00;2071.05;2077.98;2049.9;2052.31;3467;513;0
2022-05-13 23:00:00;2052.31;2055.55;1996.51;2003.42;3887;499;0
2022-05-14 00:00:00;2003.42;2037.77;1996.5;2033.03;3795;499;0
2022-05-14 01:00:00;2033.03;2063.56;2020.95;2053.58;3551;506;0
2022-05-14 02:00:00;2053.58;2058.81;2037.38;2040.18;3581;510;0
