time;open;high;low;close;tick_volume;spread;real_volume
2023-06-07 23:33:00;1.06974;1.06976;1.06973;1.06974;7;0;0
2023-06-07 23:34:00;1.06974;1.06974;1.06972;1.06972;3;0;0
2023-06-07 23:35:00;1.06972;1.06976;1.06972;1.06973;8;0;0
2023-06-07 23:36:00;1.06973;1.06976;1.06972;1.06976;8;0;0
2023-06-07 23:37:00;1.06977;1.06979;1.06977;1.06977;5;0;0
2023-06-07 23:38:00;1.06977;1.06977;1.06976;1.06976;6;0;0
2023-06-07 23:39:00;1.06977;1.06986;1.06976;1.06984;24;0;0
2023-06-07 23:40:00;1.06984;1.06984;1.06983;1.06984;3;0;0
2023-06-07 23:41:00;1.06984;1.06984;1.06979;1.0698;9;0;0
2023-06-07 23:42:00;1.06979;1.06986;1.06979;1.06986;8;0;0
2023-06-07 23:43:00;1.06985;1.06985;1.06984;1.06984;2;0;0
2023-06-07 23:44:00;1.06984;1.06985;1.06984;1.06984;3;0;0
2023-06-07 23:45:00;1.06984;1.06984;1.06981;1.06982;5;0;0
2023-06-07 23:46:00;1.06981;1.06987;1.06981;1.06987;7;0;0
2023-06-07 23:47:00;1.06987;1.06988;1.06987;1.06987;3;0;0
2023-06-07 23:48:00;1.06988;1.06991;1.06987;1.06988;9;0;0
2023-06-07 23:49:00;1.06988;1.06993;1.06988;1.06988;10;0;0
2023-06-07 23:50:00;1.06988;1.06988;1.06985;1.06985;4;0;0
2023-06-07 23:51:00;1.06985;1.06985;1.06985;1.06985;1;0;0
2023-06-07 23:52:00;1.06985;1.06985;1.06982;1.06983;11;0;0
2023-06-07 23:53:00;1.06982;1.06984;1.06981;1.06982;7;0;0
2023-06-07 23:54:00;1.06982;1.06984;1.06982;1.06982;5;0;0
2023-06-07 23:55:00;1.06982;1.06982;1.06982;1.06982;1;0;0
2023-06-08 00:05:00;1.06975;1.06975;1.06954;1.06954;5;14;0
2023-06-08 00:06:00;1.06952;1.06952;1.06947;1.06947;4;42;0
2023-06-08 00:07:00;1.06946;1.06947;1.06946;1.06947;2;42;0
2023-06-08 00:08:00;1.06948;1.06951;1.06948;1.0695000000000001;5;37;0
2023-06-08 00:10:00;1.0695000000000001;1.0695000000000001;1.0695000000000001;1.0695000000000001;1;39;0
2023-06-08 00:11:00;1.0695000000000001;1.0695000000000001;1.0695000000000001;1.0695000000000001;1;40;0
2023-06-08 00:12:00;1.06952;1.06952;1.06951;1.06952;3;41;0
2023-06-08 00:13:00;1.06952;1.06952;1.06951;1.06951;2;39;0
2023-06-08 00:14:00;1.06957;1.06968;1.06957;1.06968;4;27;0
2023-06-08 00:15:00;1.06971;1.06975;1.06971;1.06974;9;27;0
2023-06-08 00:16:00;1.06974;1.06975;1.06974;1.06975;2;28;0
2023-06-08 00:17:00;1.06974;1.06975;1.06973;1.06975;4;18;0
2023-06-08 00:18:00;1.06975;1.06975;1.06975;1.06975;1;28;0
2023-06-08 00:19:00;1.06975;1.06975;1.06975;1.06975;1;28;0
